concept_a,concept_b,Course_Code,course_name,source_syllabus,ai_suggested_label,confirmed_label,reason,embedding_similarity,order_delta,keyword_overlap
Introduction to Congruence,Fourier series of even and odd functions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.093 - no semantic relation,0.0929,5,0.0
Dirichlet’s conditions,Lines of regression,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.001 - no semantic relation,0.0011,4,0.0
Size reduction of solids. Mechanism of size,Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.264, delta=4, kw=0.111",0.2637,4,0.1111111111111111
Types of analytics,Roles in Industry,2166112,Data Analytics and Visualization,SEM-V.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.205,0.205,1,0.0
Types of solutions,Dirichlet’s conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.198, delta=9, kw=0.000",0.1982,9,0.0
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=7, kw=0.000",0.2046,7,0.0
Languages in Compiler Design,Nondeterministic Finite Automata (NFA): Definitions,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.215,0.2147,1,0.0
"Agility, DevOps and Continuous Testing",Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.172, delta=2, kw=0.000",0.1719,2,0.0
"ERC721 Tokens, ICO: basics and related terms","Mitigating attacks: 51% attack, Sybil attack, replay",2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.183, delta=4, kw=0.000",0.1834,4,0.0
Applications of Runge-Kutta Fourth order,Forward and Backward difference operators ∆,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.253, delta=3, kw=0.000",0.2533,3,0.0
Cayley-Hamilton,Quadratic forms,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=3, kw=0.000",0.1908,3,0.0
Linear and Non-Linear Programming Problems,Application of congruence-RSA algorithm,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.041 - no semantic relation,0.0412,9,0.0
"Introduction to the Relational Model, relational","Triggers, Introduction to Pl/SQL Block Structure",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.222, delta=4, kw=0.200",0.2218,4,0.2
Cryptocurrency Valuation Models,Models on Blockchain: decentralized AI,2166118,Blockchain Technology,SEM-V.pdf,1,,sim=0.488>=0.45 + delta=2<=5,0.4882,2,0.14285714285714285
"DevOps: Introduction, DevOps - Importance",Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,Low sim=0.070 - no semantic relation,0.0704,4,0.0
"Introduction to the Relational Model, relational","Integrity constraints: key constraints, Domain",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,1,,Foundational kw in A + sim=0.305 + delta=3,0.3045,3,0.0
Size reduction of solids. Mechanism of size,Flow of a single fluid through a packed bed,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.123 - no semantic relation,0.1227,6,0.08333333333333333
Pumping lemma,Equivalence between NFA with and ϵ- transitions,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.162, delta=5, kw=0.000",0.1623,5,0.0
Eulers method,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.350, delta=4, kw=0.167",0.3499,4,0.16666666666666666
Propositional and Predicate Logic,Determining risk,2173112,Discrete Structures and Graph Theory,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.091 - no semantic relation,0.0908,1,0.0
Flow of a single fluid through a packed bed,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.295, delta=5, kw=0.000",0.2954,5,0.0
Ergun’s equation,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.158, delta=2, kw=0.000",0.1576,2,0.0
Cryptocurrency Valuation Models,Emerging trends,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.183, delta=1, kw=0.000",0.1829,1,0.0
Decision properties of RLs,Nondeterministic Finite Automata (NFA): Definitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.249, delta=5, kw=0.000",0.2488,5,0.0
Linear congruence,Fourier series of periodic,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.197, delta=3, kw=0.000",0.1968,3,0.0
Application of Regular,Minimization of DFA,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.289, delta=4, kw=0.200",0.289,4,0.2
Algorithm  Bat Algorithm,Objective Swarm Optimization,2166111,Machine Learning and Swarm,SEM-V.pdf,1,,sim=0.565>=0.45 + delta=3<=5,0.565,3,0.0
Properties of Eigen,Shift operator E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.227, delta=10, kw=0.000",0.2273,10,0.0
Quadratic forms,Basic and Feasible solutions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.226, delta=4, kw=0.000",0.226,4,0.0
System calls with examples for different OS,Implementation of Page,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.101 - no semantic relation,0.1009,4,0.0
Linear and Non-Linear Programming Problems,Lines of regression,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,delta=14>=12 + sim=0.280<0.45 - far + weakly related,0.2796,14,0.0
Quadratic forms,Simplex method,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.179, delta=5, kw=0.000",0.1793,5,0.0
Cayley-Hamilton,Quadratic forms,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=3, kw=0.000",0.1908,3,0.0
Similarity of matrices,Introduction to Congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.050 - no semantic relation,0.0499,9,0.0
"Metaverse, Cryptocurrency wallets: Hot and cold","Mitigating attacks: 51% attack, Sybil attack, replay",2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.218, delta=3, kw=0.000",0.218,3,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.169, delta=5, kw=0.143",0.1691,5,0.14285714285714285
DBMS system,Role of DBA,2343113,Database Management System & Application,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,sim=0.525>=0.45 + delta=1<=5,0.525,1,0.0
Nondeterministic Finite Automata (NFA): Definitions,Minimization of DFA,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,sim=0.516>=0.45 + delta=2<=5,0.5158,2,0.0
Taxes and tax brackets,Vending machines,2023112,Discrete Structures and Graph,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.047 - no semantic relation,0.0465,1,0.0
Simplex method,Lines of regression,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.104 - no semantic relation,0.1042,10,0.0
Flow Control: Stop-and-Wait Flow Control,Scheduled Access (Reservation,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.168, delta=4, kw=0.000",0.1675,4,0.0
Mixers for free flowing solids: Ribbon,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.443, delta=8, kw=0.091",0.4427,8,0.09090909090909091
Metrics: Measuring performance,Edge resource optimization,2166115,Nature- Inspired Optimization,SEM-V.pdf,0,,"No prereq signal: sim=0.260, delta=4, kw=0.000",0.2601,4,0.0
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,sim=0.575>=0.45 + delta=3<=5,0.575,3,0.125
Introduction to Congruence,Application of congruence-RSA algorithm,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,High sim=0.688 + delta=2,0.6881,2,0.14285714285714285
"Pitfalls in relational database designs, Concept","Concurrent Executions, Serializability",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.184, delta=1, kw=0.000",0.1842,1,0.0
Simplex method,Fourier series of even and odd functions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=8, kw=0.000",0.1592,8,0.0
Size reduction equipment – Jaw crusher,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.090 - no semantic relation,0.0904,11,0.0
Testing: Principles of Agile Testers,"Postman, and JMeter",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,Low sim=0.146 - no semantic relation,0.1462,3,0.0
Random Access (ALOHA,Link Layer Addressing,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.151, delta=1, kw=0.000",0.1511,1,0.0
Quadratic forms,Complex form of Fourier Series,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,delta=14>=12 + sim=0.200<0.45 - far + weakly related,0.1998,14,0.0
Pumping lemma,Languages in Compiler Design,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.224, delta=3, kw=0.000",0.2239,3,0.0
Basic and Feasible solutions,Artificial variables,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.427 + delta=2,0.4269,2,0.0
"Introduction to the Relational Model, relational","Integrity constraints: key constraints, Domain",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.305 + delta=3,0.3045,3,0.0
Standard and Canonical of LPP,Introduction to Congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.083 - no semantic relation,0.0827,5,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.152, delta=7, kw=0.000",0.1524,7,0.0
Dirichlet’s conditions,Fourier series of even and odd functions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.151, delta=2, kw=0.000",0.1507,2,0.0
Analytics:  Key Roles for a Successful,Data Analytics life cycle,2166112,Data Analytics and Visualization,SEM-V.pdf,1,,sim=0.465>=0.45 + delta=1<=5,0.4646,1,0.1111111111111111
"Generalization, Specialization and Aggregation","Concurrent Executions, Serializability",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.255, delta=7, kw=0.000",0.2549,7,0.0
Pumping lemma,Minimization of DFA,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=6, kw=0.000",0.1527,6,0.0
"Generalization, Specialization and Aggregation","Pitfalls in relational database designs, Concept",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.295, delta=6, kw=0.000",0.2946,6,0.0
"Integrity constraints: key constraints, Domain","Concurrent Executions, Serializability",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.347, delta=3, kw=0.000",0.3471,3,0.0
Similarity of matrices,Relation between E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.158, delta=10, kw=0.000",0.1578,10,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.169, delta=5, kw=0.143",0.1691,5,0.14285714285714285
Standard and Canonical of LPP,Simplex method,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.166, delta=2, kw=0.000",0.1656,2,0.0
CRC code,Flow Control: Stop-and-Wait Flow Control,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.177, delta=1, kw=0.000",0.1772,1,0.0
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.318,0.318,1,0.0
Fluidization: conditions for fluidization,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.275, delta=4, kw=0.000",0.2755,4,0.0
"Generalization, Specialization and Aggregation","Overview of SQL, Data Definition Commands",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.214, delta=3, kw=0.000",0.2145,3,0.0
Fourier series of even and odd functions (simple functions,Rank correlation coefficient (R) (with repeated and non,2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=-0.036 - no semantic relation,-0.0358,4,0.06666666666666667
Quadratic forms,Introduction to Congruence,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=8, kw=0.000",0.2168,8,0.0
"Testing: Functionality Testing, UI Testing",Study – Selenium/ Jira,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.231, delta=3, kw=0.000",0.2311,3,0.0
"Testing: Functionality Testing, UI Testing","Postman, and JMeter",2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.212, delta=4, kw=0.000",0.2123,4,0.0
Flow of a single fluid through a packed bed,Ergun’s equation,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.177, delta=1, kw=0.000",0.1774,1,0.0
Fourier series of periodic,Moment generating function,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.174, delta=4, kw=0.000",0.1743,4,0.0
Simplex method,Application of congruence-RSA algorithm,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=5, kw=0.000",0.155,5,0.0
RE in text search and replace,Nondeterministic Finite Automata (NFA): Definitions,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.055 - no semantic relation,0.0547,3,0.0
Data Link Layer Data Link Control:  Framing ,10-Gigabit Ethernet,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.251, delta=10, kw=0.000",0.251,10,0.0
Regular operations,Decision properties of RLs,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.194, delta=2, kw=0.000",0.1942,2,0.0
CRC code,Random Access (ALOHA,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.162, delta=6, kw=0.000",0.1622,6,0.0
"Generalization, Specialization and Aggregation","Triggers, Introduction to Pl/SQL Block Structure",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=5, kw=0.000",0.2173,5,0.0
Mixing equipment for cohesive solids,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.397, delta=8, kw=0.111",0.3968,8,0.1111111111111111
Similarity of matrices,Types of solutions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.072 - no semantic relation,0.0718,3,0.2
Testing: Principles of Agile Testers,Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.222, delta=8, kw=0.111",0.2224,8,0.1111111111111111
Grizzlies and Trommels,Solid mixing – Introduction to solid mixing,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.044 - no semantic relation,-0.0442,4,0.0
Kutta second Order method,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.319, delta=3, kw=0.125",0.3192,3,0.125
Algorithm  Bat Algorithm,Learning : Quantum,2166111,Machine Learning and Swarm,SEM-V.pdf,0,,Low sim=0.126 - no semantic relation,0.1264,1,0.0
Standard and Canonical of LPP,Fourier series of even and odd functions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.038 - no semantic relation,0.0379,10,0.2
Hal Frange Sine and Cosine Series,"Harmonic function, Harmonic conjugate, and orthogonal",2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=1, kw=0.100",0.1887,1,0.1
Kuhn-Tucker conditions,Dirichlet’s conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.417, delta=4, kw=0.200",0.4166,4,0.2
"ERC721 Tokens, ICO: basics and related terms","Case study: AI for transaction validation, fraud",2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.237, delta=8, kw=0.000",0.2371,8,0.0
Quadratic forms,Standard and Canonical of LPP,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.109 - no semantic relation,0.1094,3,0.0
Basic and Feasible solutions,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=6, kw=0.000",0.1536,6,0.0
C’s of DevOps Lifecycle for Business,Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.170, delta=3, kw=0.091",0.17,3,0.09090909090909091
"Hammer mill, Ball mill and Roll crusher",Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.183, delta=7, kw=0.000",0.1826,7,0.0
Linear and Non-Linear Programming Problems,Artificial variables,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.395, delta=5, kw=0.000",0.3948,5,0.0
Linear and Non-Linear Programming Problems,Dirichlet’s conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.043 - no semantic relation,0.0428,10,0.0
CRC code,Medium Access Control,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.183, delta=4, kw=0.000",0.1827,4,0.0
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=7, kw=0.000",0.2046,7,0.0
Propositional and Predicate Logic,Vending machines,2173112,Discrete Structures and Graph Theory,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.133 - no semantic relation,0.1332,3,0.0
Special-purpose,Mobile Operating System,2014113,Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=5, kw=0.000",0.1539,5,0.0
"Introduction to the Relational Model, relational","Cloud Database, Introduction of Distributed",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,1,,Foundational kw in A + sim=0.259 + delta=7,0.2594,7,0.1111111111111111
Dirichlet’s conditions,Fourier series of even and odd functions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.151, delta=2, kw=0.000",0.1507,2,0.0
Introduction to Congruence,Linear congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,High sim=0.678 + delta=1,0.6781,1,0.25
Size reduction of solids. Mechanism of size,Fluidization: conditions for fluidization,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.226, delta=8, kw=0.000",0.2257,8,0.0
Types of solutions,Kuhn-Tucker conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=5, kw=0.000",0.1889,5,0.0
Introduction to Congruence,Dirichlet’s conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=3, kw=0.000",0.1547,3,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.284, delta=11, kw=0.083",0.2843,11,0.08333333333333333
Special-purpose,Open-source and Proprietary Operating System,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=1, kw=0.000",0.1526,1,0.0
Cayley-Hamilton,Introduction to Congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.147 - no semantic relation,0.1471,11,0.0
"Pitfalls in relational database designs, Concept","Cloud Database, Introduction of Distributed",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.350 + delta=2,0.3498,2,0.1
RE in text search and replace,Languages in Compiler Design,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.009 - no semantic relation,0.0087,2,0.1111111111111111
Languages in Compiler Design,Minimization of DFA,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.146 - no semantic relation,0.146,3,0.0
Quadratic forms,Dirichlet’s conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.133 - no semantic relation,0.1331,11,0.0
Cayley-Hamilton,Quadratic forms,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.191, delta=2, kw=0.000",0.1908,2,0.0
Types of solutions,Kuhn-Tucker conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=5, kw=0.000",0.1889,5,0.0
Screening equipment – Vibrating screen,Mixing equipment for cohesive solids,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.118 - no semantic relation,0.118,6,0.125
Similarity of matrices,Application of congruence-RSA algorithm,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.075 - no semantic relation,0.0755,11,0.14285714285714285
Basic and Feasible solutions,Simplex method,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.330 + delta=1,0.33,1,0.0
Dirichlet’s conditions,Fourier series of even and odd functions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.151, delta=2, kw=0.000",0.1507,2,0.0
Medium Access Control,Link Layer Addressing,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.203, delta=3, kw=0.000",0.2033,3,0.0
Mixers for free flowing solids: Ribbon,Solid fluid,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.349, delta=4, kw=0.000",0.3486,4,0.0
Inspired and Multi,Objective Swarm Optimization,2166111,Machine Learning and Swarm,SEM-V.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.230,0.2301,1,0.0
Space Division Switching,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.014 - no semantic relation,0.014,13,0.0
Quadratic forms,Fourier series of periodic,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.033 - no semantic relation,0.0328,12,0.0
"Postman, and JMeter",Source Tools in DevOps,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,Low sim=0.126 - no semantic relation,0.126,6,0.0
Medium Access Control,Random Access (ALOHA,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.376,0.3759,2,0.2
Linear congruence,Lines of regression,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=0.129 - no semantic relation,0.129,6,0.0
Decision properties of RLs,Languages in Compiler Design,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.174, delta=4, kw=0.000",0.1739,4,0.0
Determining risk,Taxes and tax brackets,2023112,Discrete Structures and Graph,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.082 - no semantic relation,0.0822,1,0.0
