concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Implementation of operations on B/B+-trees,Implement Sum of subsets problem for a given set of,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1064,8,1,0.0714,0,truncated_fragment,truncated_fragment; lab_or_project_course
"DevOps: Dive, , Packt, 2018",Question Paper will comprise of a total of six questions each carrying 15  marks. Q.1,2165113,Agile Software,SEM-V.pdf,0.1144,9,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
Types of time series: univariate and multivariate,xts) Extracting time series,2166120,Visualization Lab,SEM-V.pdf,0.3784,2,1,0.2222,1,truncated_fragment,truncated_fragment; lab_or_project_course
Multi-tier architecture,and hyperlinks. Responsive Web Design: Learn to build websites,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2022,11,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Concepts of Data Exploration: Different techniques,EDA and feature exploration,2166120,Visualization Lab,SEM-V.pdf,0.4018,1,1,0.1111,1,person_name,person_name; lab_or_project_course
value chain,Roles in Industry,2166112,Data Analytics,SEM-V.pdf,0.2252,2,1,0.0,1,generic_lone_term,generic_lone_term
IA will consist of Two Compulsory Internal Assessment Tests. Each test will be,(b) must be from any other Module randomly selected from all the modules),2165113,Agile Software,SEM-V.pdf,0.1666,8,1,0.0435,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment; subject_mismatch
Smart City (Parking or Waste Management),Students can Use Any Board such as Arduino/ Node MCU/ ESP32/ R,2166121,Internet of Things,SEM-V.pdf,0.0408,5,1,0.0,0,tool_fragment,tool_fragment; admin_rubric_noise
"Linear Algebra, Vectors, Probability and statistics, Programming Concepts",Self-Learning : Support Vector Regression and,2166111,Machine,SEM-V.pdf,0.3696,5,1,0.0769,1,publisher_citation,publisher_citation; admin_rubric_noise; truncated_fragment
Advanced Data Structures,Construct Binary Search Tree for given sequence of,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3203,1,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Advanced Data Structures,Implement solution for job sequencing with deadlines,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2261,13,1,0.0,0,lab_or_project_course,lab_or_project_course
Introduction to OOP- Basic of,Packages and Import statements,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2079,1,1,0.0,1,truncated_fragment,truncated_fragment; person_name; lab_or_project_course
Interfacing Soil Moisture Sensor with any board and Uploading Data to,Any application of Blynk App,2166121,Internet of Things,SEM-V.pdf,0.145,2,1,0.0667,0,truncated_fragment,truncated_fragment; tool_fragment
experience of more than five years approved by head of Institution,List of Sample Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0231,2,1,0.0714,0,publisher_citation,publisher_citation; subject_mismatch; lab_or_project_course
Q2: List the basic components of a Solidity smart contract,"enabled smart contracts, and how do they enhance automation?",2166126,Blockchain,SEM-V.pdf,0.3239,12,1,0.0556,0,admin_rubric_noise,admin_rubric_noise
Special-purpose,functions: Cloud Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.192,6,1,0.0,0,truncated_fragment,truncated_fragment
"Term Work: Term Work shall consist of list of all practicals’ based on the above list. Also, the Term work Journal must",Term Work Marks: 50 Marks (Total marks) = 10 Marks (Experiment) + 5 Marks (Assignments) + 30 Marks (Capstone,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4922,3,1,0.0833,1,length_bound,length_bound; publisher_citation; admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
Expense Tracker App (Java or Python),"Use map, reduce, filter extensively",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1375,6,1,0.0,0,lab_or_project_course,lab_or_project_course
"must be from different modules. For example, if Q.2 has part (a) from Module 3 then part",A total of Four questions need to be answered,2165113,Agile Software,SEM-V.pdf,0.1693,2,1,0.087,0,length_bound,length_bound; admin_rubric_noise
application. Properties,@RestController vs. @Controller,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0701,12,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Travelling salesman problem,Implement any one application,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1502,6,1,0.1429,0,lab_or_project_course,lab_or_project_course
Spearman’s Rank correlation coefficient (R) (with,Normal Distribution,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1015,8,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Self-Learning : Support Vector Regression and,"Dimensionali ty Reduction 4.1 Curse of Dimensionality. 4.2 Feature Selection (Filter Method, Embedded Method, Wrapper Method) and Feature Extraction",2166111,Machine,SEM-V.pdf,0.3589,2,1,0.0455,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; length_bound
MVC Architecture- Model: Business logic,Controller: Request,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2709,3,1,0.0,1,lab_or_project_course,lab_or_project_course
modelling Creating new features from existing data,Self- learning Topics: Different feature engineering,2166120,Visualization Lab,SEM-V.pdf,0.3983,2,1,0.0,1,lab_or_project_course,lab_or_project_course
and handling user input through various,radio buttons,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2625,2,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Order Functions,understand declarative programming concepts,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.07,13,1,0.0,0,person_name,person_name; lab_or_project_course
Self-learning Topics: Performance comparison of,Self-learning Topics: Study a real time case study for,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.8211,5,1,0.25,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
regression. Estimation of coefficients using Least Squares,Anomaly Detection: Outliers,2166120,Visualization Lab,SEM-V.pdf,0.1015,10,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Online References,Website Name,2165113,Agile Software,SEM-V.pdf,0.2756,1,1,0.0,1,person_name,person_name
the execution of the Functional Implementation,Tutorial on working of SWI Prolog Environment,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3059,2,1,0.0909,1,truncated_fragment,truncated_fragment; lab_or_project_course
conditional expression,pattern matching,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3555,2,1,0.0,1,lab_or_project_course,lab_or_project_course
error in this case. Define safetail using: (a) a,(b) guarded equations,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2072,2,1,0.0,1,lab_or_project_course,lab_or_project_course
on DevOps adoption and automation practices,"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw",2165113,Agile Software,SEM-V.pdf,0.2914,2,1,0.0,1,truncated_fragment,truncated_fragment; publisher_citation
First shall be for the finalisation of problem and proposed solution,"Second shall be for the implementation, testing and validation of solution",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.7055,1,1,0.4667,1,lab_or_project_course,lab_or_project_course
in DevOps Implementation. Mapping App to,Source Tools in DevOps,2165113,Agile Software,SEM-V.pdf,0.4199,2,1,0.25,1,truncated_fragment,truncated_fragment
Scikit-learn R,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.108,6,1,0.0,0,lab_or_project_course,lab_or_project_course
"First International Edition, Prentice Hall",1/blob/master/book/Practical%20DevOps.pdf,2165113,Agile Software,SEM-V.pdf,0.2558,12,1,0.0,0,publisher_citation,publisher_citation
Outlier detection using density-based methods for real time,Time Series Analysis,2166120,Visualization Lab,SEM-V.pdf,0.2483,2,1,0.0909,1,lab_or_project_course,lab_or_project_course
Fundamentals of Distributed Operating System,Architecture and,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2843,2,1,0.0,1,truncated_fragment,truncated_fragment
"HTML 5, CSS 3 with Bootstrap HTML Basics & Structure: Learn HTML5 structure, semantic",and hyperlinks. Responsive Web Design: Learn to build websites,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5172,4,1,0.0526,1,truncated_fragment,truncated_fragment; lab_or_project_course
Parseval’s Identity (without proof) Fourier series of periodic,function with period2  and2l,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2634,1,1,0.0,1,publisher_citation,publisher_citation; truncated_fragment
"Implement inheritance for different types of users (students, staff)",Recursion instead of loops,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0415,14,1,0.0833,0,lab_or_project_course,lab_or_project_course
web pages,using images as links,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3072,1,1,0.0,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
applications of full stack,MVC Architecture- Model: Business logic,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1202,9,1,0.0,0,lab_or_project_course,lab_or_project_course
Features of Spring Boot: Auto-configuration,Starter dependencies,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2475,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Collection of Dataset,Societal impact,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0138,2,1,0.0,0,lab_or_project_course,lab_or_project_course
"handling and Garbage collection, preferably in","environment and Basic operators, types, prelude",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1412,5,1,0.0909,0,person_name,person_name; truncated_fragment; lab_or_project_course
based consensus is used,Faculty of Science & Technology,2166126,Blockchain,SEM-V.pdf,0.0567,11,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
Database: MySQL,Java SE concepts: JVM,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0563,4,1,0.0,0,lab_or_project_course,lab_or_project_course
Fourier Series,Parseval’s Identity (without proof) Fourier series of periodic,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6086,2,1,0.2222,1,publisher_citation,publisher_citation; truncated_fragment
traversal of constructed tree. Analyze complexities,Backtracking and Maximum flow Networks,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2787,10,1,0.0,0,lab_or_project_course,lab_or_project_course
"Include problem definition, architecture, components used, and expected outcomes",Based Interface via any board,2166121,Internet of Things,SEM-V.pdf,0.1293,13,1,0.0,0,truncated_fragment,truncated_fragment
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,diagonalizable and non,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.3128,2,1,0.0769,1,person_name,person_name; truncated_fragment; subject_mismatch
Types of time series: univariate and multivariate,Fitting ARIMA models,2166120,Visualization Lab,SEM-V.pdf,0.2488,7,1,0.0,0,lab_or_project_course,lab_or_project_course
"learning Topics: CI/CD pipelines, cloud",Hill International Publication,2165113,Agile Software,SEM-V.pdf,0.1321,6,1,0.0,0,publisher_citation,publisher_citation
Closure properties,output: Moore and Mealy machines,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0456,14,1,0.0,0,person_name,person_name
Residual analysis,Data Exploration and Anamoly Detection,2166120,Visualization Lab,SEM-V.pdf,0.2155,6,1,0.0,0,lab_or_project_course,lab_or_project_course
Prolog programs to,Knowledge Base having multiple facts and rules,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2681,3,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Common security threats in Blockchain,Emerging trends,2166118,Blockchain,SEM-V.pdf,0.2184,4,1,0.0,0,generic_lone_term,generic_lone_term
Scheduled Access (Reservation,Token Passing),2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2153,1,1,0.0,1,truncated_fragment,truncated_fragment
Analytics and,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.1656,14,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Regression Model Evaluation,function and odds ratio Model fitting and interpretation,2166120,Visualization Lab,SEM-V.pdf,0.4337,8,1,0.1111,1,lab_or_project_course,lab_or_project_course
Faculty of Technology,Dr. Deven Shah,2166126,Blockchain,SEM-V.pdf,0.3497,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; publisher_citation; person_name
Implement Rabin-Karp algorithm,Implement KMP algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4577,1,1,0.4,1,lab_or_project_course,lab_or_project_course
repeated ranks) Lines of regression Fitting of first- and,"learning topics: Total probability theorem, Bayes’",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1378,7,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
Duration: 2 Hours,(2) Solve any three questions out of five,2165113,Agile Software,SEM-V.pdf,0.1234,3,1,0.1,0,admin_rubric_noise,admin_rubric_noise
Understanding Request Mapping,Get Mapping,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5568,1,1,0.25,1,person_name,person_name; lab_or_project_course
Standard and Canonical of LPP,Basic and Feasible solutions,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.224,1,1,0.125,1,person_name,person_name; subject_mismatch
Date of Exam,"Question 1 is compulsory, and it should include sub",2165113,Agile Software,SEM-V.pdf,0.1522,12,1,0.0,0,admin_rubric_noise,admin_rubric_noise
diagonalizable and non,Basic and Feasible solutions,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1687,6,1,0.1667,0,person_name,person_name; truncated_fragment; subject_mismatch
Importance of data cleaning and preparation Handling,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.2482,4,1,0.0769,0,lab_or_project_course,lab_or_project_course
and digital tokens,"ERC721 Tokens, ICO: basics and related terms",2166118,Blockchain,SEM-V.pdf,0.3918,2,1,0.25,1,truncated_fragment,truncated_fragment
(Contact Hours),Edge Computing,2166116,Computing,SEM-V.pdf,0.1413,2,1,0.0,0,generic_lone_term,generic_lone_term; admin_rubric_noise
Assignment 2  ( Any two Questions from each Unit),Q2: What are AI,2166126,Blockchain,SEM-V.pdf,0.2633,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Introduction to Python and,Libraries: dplyr,2166120,Visualization Lab,SEM-V.pdf,0.3564,4,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
Quadratic forms,Standard and Canonical of LPP,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1094,3,1,0.0,0,person_name,person_name; subject_mismatch
Source Tools in DevOps,on DevOps adoption and automation practices,2165113,Agile Software,SEM-V.pdf,0.6263,4,1,0.1111,1,truncated_fragment,truncated_fragment
Implement Longest common subsequence,"Algorithm Design Jon Kleinberg, Éva Tardos Pearson 1st Edition",2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2937,4,1,0.0,0,publisher_citation,publisher_citation; lab_or_project_course
Reference Books,Internal Assessment (IA) for 20 marks,2165113,Agile Software,SEM-V.pdf,0.1572,9,1,0.0,0,person_name,person_name; admin_rubric_noise
Connected Car System,+ 5 Marks (Attendance),2166121,Internet of Things,SEM-V.pdf,0.1027,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Self- learning Topics: Different feature engineering,regression. Estimation of coefficients using Least Squares,2166120,Visualization Lab,SEM-V.pdf,0.0742,5,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
"Dr. Asharaf S. & Sivadas Neelima, “Blockchain Technology: Algorithms and","Contracts and DApps”, O’Reilly Media",2166118,Blockchain,SEM-V.pdf,0.2173,3,1,0.0714,0,publisher_citation,publisher_citation; truncated_fragment; person_name
Distribution of Term work marks for both semesters shall be as below,Review/progress monitoring committee may consider following points for assessment based of the semester,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.497,5,1,0.0833,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
"platforms, STO, Different Crypto currencies, Defi","Metaverse, Cryptocurrency wallets: Hot and cold",2166118,Blockchain,SEM-V.pdf,0.4251,1,1,0.0,1,person_name,person_name; truncated_fragment
Q3: Differentiate between a blockchain and a traditional database,Q1: What is the role of Gas in Ethereum transactions?,2166126,Blockchain,SEM-V.pdf,0.2208,6,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Students should understand checked and unchecked,Functional Programming Concepts,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1712,7,1,0.0,0,person_name,person_name; admin_rubric_noise; lab_or_project_course
Self-learning Topics: Study of any three different OS,Self-learning Topics: Study a real time case study for,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.7024,7,1,0.2857,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Link Layer Addressing,MAC address and its types,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3609,1,1,0.0,1,person_name,person_name
Regression Model Evaluation,regression. Estimation of coefficients using Least Squares,2166120,Visualization Lab,SEM-V.pdf,0.4944,3,1,0.1111,1,subject_mismatch,subject_mismatch; lab_or_project_course
R for data analytics,Self- learning Topics: Different feature engineering,2166120,Visualization Lab,SEM-V.pdf,0.0222,10,1,0.0,0,lab_or_project_course,lab_or_project_course
and basic understanding of facts and rules,Students must be able to learn to query it and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3579,6,1,0.0714,1,truncated_fragment,truncated_fragment; admin_rubric_noise; lab_or_project_course
Self-learning Topics: Various Network Performance,Self-learning Topics: Exploring various Cloud computing,2166124,Edge Computing,SEM-V.pdf,0.6402,1,1,0.4444,1,admin_rubric_noise,admin_rubric_noise
Implement N-Queen's problem using Back Tracking,Implement Sum of subsets problem for a given set of,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2441,1,1,0.1333,1,truncated_fragment,truncated_fragment; lab_or_project_course
Optional: Add GUI using Tkinter or JavaFX,"Use map, reduce, filter extensively",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0472,10,1,0.0,0,lab_or_project_course,lab_or_project_course
Importing and exploring time series data in Python,xts) Extracting time series,2166120,Visualization Lab,SEM-V.pdf,0.5364,1,1,0.2,1,truncated_fragment,truncated_fragment; lab_or_project_course
Anomaly detection techniques,and ARIMA concepts,2166120,Visualization Lab,SEM-V.pdf,0.2672,12,1,0.0,0,person_name,person_name; truncated_fragment; lab_or_project_course
function with period2  and2l,"only, piecewise continuous function not to be included)",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2836,2,1,0.0909,1,truncated_fragment,truncated_fragment
Associate Dean,Faculty of Science & Technology,2166126,Blockchain,SEM-V.pdf,0.3771,1,1,0.0,1,publisher_citation,publisher_citation; person_name; admin_rubric_noise
Random Access (ALOHA,HDLC Protocol,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1372,10,1,0.0,0,truncated_fragment,truncated_fragment
"polar coordinates, conformal mapping, linear, bilinear","learning Topics: Covariance, fitting of exponential",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1164,6,1,0.0,0,subject_mismatch,subject_mismatch
Procedural Programming,Use functions and data structures to store and compute data,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2677,2,1,0.0,1,lab_or_project_course,lab_or_project_course
natural numbers that use a predefined add function,Tutorial on working of SWI Prolog Environment,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.033,7,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
RESTful API development- What is REST? REST vs. SOAP,Creating REST Controllers in Spring Boot,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3382,3,1,0.0769,0,subject_mismatch,subject_mismatch; lab_or_project_course
and advanced features like CSS Grid,and navigation bars.React.js basics,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3377,3,1,0.0909,0,person_name,person_name; truncated_fragment; lab_or_project_course
Laplace transform using derivatives and its properties,Parseval’s Identity (without proof) Fourier series of periodic,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1419,3,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
document spacing,Image Handling & Forms: Understand image roles,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0267,6,1,0.0,0,person_name,person_name; lab_or_project_course
Greedy algorithms and Applications,Implement solution for a 0-1 knapsack problem using,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3491,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Concept of features and importance in predictive,Self- learning Topics: Different feature engineering,2166120,Visualization Lab,SEM-V.pdf,0.3249,3,1,0.0,1,lab_or_project_course,lab_or_project_course
At least Two Programs to understand Exception,At least Two Program preferably in Java/C++ to,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4169,4,1,0.3333,1,truncated_fragment,truncated_fragment; lab_or_project_course
Implement Insert,Implement solution for job sequencing with deadlines,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1775,8,1,0.125,0,person_name,person_name; lab_or_project_course
In-order and Post-order,distinct numbers using backtracking,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1523,14,1,0.0,0,person_name,person_name; lab_or_project_course
"Deepak Gaikwad, Viral Thakkar. DevOps Tools from Practitioner's Viewpoint","Sricharan Vadapalli , DevOps: Continuous Delivery, Integration, and Deployment with",2165113,Agile Software,SEM-V.pdf,0.6324,6,1,0.0556,1,publisher_citation,publisher_citation; truncated_fragment
"Introduction to Agile Methods, Sondra Ashmore",Mike Cohn – Agile Estimating and Planning (Pearson),2165113,Agile Software,SEM-V.pdf,0.546,2,1,0.0833,1,publisher_citation,publisher_citation
"Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison",Internal Assessment (IA) for 20 marks,2165113,Agile Software,SEM-V.pdf,0.1249,6,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise
Implement Floyd Warshall Algorithm,Implement Naïve string matching algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2518,3,1,0.2857,1,lab_or_project_course,lab_or_project_course
Implement Rabin-Karp algorithm,"Algorithm Design Jon Kleinberg, Éva Tardos Pearson 1st Edition",2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4273,6,1,0.0833,1,publisher_citation,publisher_citation; lab_or_project_course
"Classes: Customer, MenuItem, Order, Restaurant",Read weather data and apply pure functions for analysis,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0041,6,1,0.0,0,person_name,person_name; subject_mismatch; lab_or_project_course
Self- learning Topics: Explore Advance Regression,Outlier detection using density-based methods for real time,2166120,Visualization Lab,SEM-V.pdf,0.138,9,1,0.0,0,lab_or_project_course,lab_or_project_course
and NSGA-III mechanisms,hyperparameter tuning,2166115,Nature-,SEM-V.pdf,0.0206,8,1,0.0,0,person_name,person_name; truncated_fragment
regression line and equation. Assumptions of linear,Outlier Detection using,2166120,Visualization Lab,SEM-V.pdf,0.1291,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Effective use of standard engineering norms,List of Sample Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0194,8,1,0.1,0,lab_or_project_course,lab_or_project_course
Module weightage as per contact hours mentioned in the syllabus,questions covering all,2165113,Agile Software,SEM-V.pdf,0.0193,2,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Demonstrate Compilation and interpretation stages,Preferably in C++ to demonstrate concepts like,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4724,5,1,0.0909,1,person_name,person_name; lab_or_project_course
Q1: Explain the structure of a blockchain block and the role of the block header,Q2: List the basic components of a Solidity smart contract,2166126,Blockchain,SEM-V.pdf,0.4358,9,1,0.1667,0,admin_rubric_noise,admin_rubric_noise
through Dart,"learning implementation of concurrency, Streams",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1621,2,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Concurrency and,"Students shall form a group of 3 to 4 students, and a group shall not be allowed less than three or more than four",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1444,6,1,0.05,0,truncated_fragment,truncated_fragment; length_bound; admin_rubric_noise; subject_mismatch; lab_or_project_course
degree curves,"Advanced Engineering Mathematics, Erwin Kreyszig, Wiley Eastern Limited",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1699,14,1,0.0,0,publisher_citation,publisher_citation
Functions ofSquare Matrix,Self-learning Topics: Initial value theorem,2344111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.15,5,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
Project Practical/Oral Examination,group to a panel of Internal and External Examiners preferably from industry or research organisations having,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3263,2,1,0.0,1,admin_rubric_noise,admin_rubric_noise; length_bound; lab_or_project_course
"The progress of the mini project to be evaluated on continuous basis, minimum two reviews in each semester","In continuous assessment, focus shall also be on each individual student, assessment based on the individual’s",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4156,1,1,0.24,1,length_bound,length_bound; publisher_citation; lab_or_project_course
Self-learning Topics: Demonstration of DLL,protocols on Simulator,2165116,Computer,SEM-V.pdf,0.1356,1,1,0.0,0,admin_rubric_noise,admin_rubric_noise; tool_fragment
diagonalizable and non,Artificial variables,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0099,12,1,0.0,0,person_name,person_name; truncated_fragment; subject_mismatch
Implement Sum of subsets problem for a given set of,Implementation of Ford-Fulkerson algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1608,4,1,0.0769,0,truncated_fragment,truncated_fragment; lab_or_project_course
Starter dependencies,Running your first Spring Boot application,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3665,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Equivalence between NFA with and ϵ- transitions,to DFA Conversion,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.4287,1,1,0.0,1,truncated_fragment,truncated_fragment
"Use classes for Books, Users, Transactions","Implement inheritance for different types of users (students, staff)",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5056,1,1,0.1538,1,person_name,person_name; lab_or_project_course
